# peacockdb cost-model calibration record. One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# The partition is not a column: a node's regions are written consecutively, p0 first.
# A benchmark executes its plan several times and writes EVERY measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, label, node_seq) recurs, and a repeat of the root's node_seq is
#   where one execution's rows end. Spread across those repeats is data, not noise.
# ONE FILE IS ONE RUN. The `# run:` lines below hold what is constant across it, and
#   each of them changes what the microseconds MEAN — so appending a run that disagrees
#   with them is refused rather than merged.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# node_type = the plan node's name. Its cost CATEGORY is deliberately not a column: it
#   is a lookup in cost_model.conf, which changes on its own, and a column would freeze
#   the taxonomy as it stood when the rows were written. The writer still refuses to
#   emit a node type the taxonomy does not bin.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# run: timing_mode=events
# run: build_profile=benchmarks opt-level=3
# run: allocator=rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
source	dataset	sf	query	label	node_seq	node_type	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us
peacockdb	tpcds	1	q10	full_table-tp1-standard	2	GpuCoalesceBatchesExec	459	3730	459	3730	3730	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	1	GpuFilterExec	50000	1290073	459	3730	3730	2	1129	1128	1131
peacockdb	tpcds	1	q10	full_table-tp1-standard	0	GpuScanExec	0	0	50000	1290073	1290073	2	15081	15075	15083
peacockdb	tpcds	1	q10	full_table-tp1-standard	3	GpuScanExec	0	0	100000	2437500	2437500	2	23495	23494	23497
peacockdb	tpcds	1	q10	full_table-tp1-standard	6	GpuScanExec	0	0	1920800	137714516	137714516	3	37416	37415	37419
peacockdb	tpcds	1	q10	full_table-tp1-standard	14	GpuCoalesceBatchesExec	108973	885406	108973	885406	885406	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	13	GpuHashJoinExec	2880524	46807541	108973	885406	885406	1	607	606	608
peacockdb	tpcds	1	q10	full_table-tp1-standard	11	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	10	GpuFilterExec	73049	1780572	120	975	975	28	162	161	190
peacockdb	tpcds	1	q10	full_table-tp1-standard	9	GpuScanExec	0	0	73049	1780572	1780572	2	18774	18773	18776
peacockdb	tpcds	1	q10	full_table-tp1-standard	12	GpuScanExec	0	0	2880404	46806566	46806566	2	18232	18231	18234
peacockdb	tpcds	1	q10	full_table-tp1-standard	22	GpuCoalesceBatchesExec	27788	451556	27788	451556	451556	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	21	GpuHashJoinExec	719504	11690965	27788	451556	451556	1	360	359	361
peacockdb	tpcds	1	q10	full_table-tp1-standard	19	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	18	GpuFilterExec	73049	1780572	120	975	975	24	162	161	186
peacockdb	tpcds	1	q10	full_table-tp1-standard	17	GpuScanExec	0	0	73049	1780572	1780572	2	17346	17344	17348
peacockdb	tpcds	1	q10	full_table-tp1-standard	20	GpuScanExec	0	0	719384	11689990	11689990	7	6998	6996	7005
peacockdb	tpcds	1	q10	full_table-tp1-standard	30	GpuCoalesceBatchesExec	54337	882978	54337	882978	882978	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	29	GpuHashJoinExec	1441668	23426131	54337	882978	882978	1	434	433	435
peacockdb	tpcds	1	q10	full_table-tp1-standard	27	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	26	GpuFilterExec	73049	1780572	120	975	975	23	150	149	173
peacockdb	tpcds	1	q10	full_table-tp1-standard	25	GpuScanExec	0	0	73049	1780572	1780572	2	17142	17141	17144
peacockdb	tpcds	1	q10	full_table-tp1-standard	28	GpuScanExec	0	0	1441548	23425156	23425156	6	8246	8245	8252
peacockdb	tpcds	1	q10	full_table-tp1-standard	37	GpuSortExec	6	684	6	684	684	2	1173	1172	1175
peacockdb	tpcds	1	q10	full_table-tp1-standard	36	GpuProjectExec	6	439	6	684	684	1	262	261	263
peacockdb	tpcds	1	q10	full_table-tp1-standard	35	GpuAggregateExec	6	390	6	439	439	3	743	742	746
peacockdb	tpcds	1	q10	full_table-tp1-standard	34	GpuCoalesceBatchesExec	6	390	6	390	390	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	33	GpuFilterExec	92	5923	6	390	390	2	579	578	581
peacockdb	tpcds	1	q10	full_table-tp1-standard	32	GpuCoalesceBatchesExec	92	5923	92	5923	5923	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	31	GpuHashJoinExec	54429	889625	92	5923	5923	2	671	670	673
peacockdb	tpcds	1	q10	full_table-tp1-standard	24	GpuCoalesceBatchesExec	92	6647	92	6647	6647	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	23	GpuHashJoinExec	27880	458179	92	6647	6647	2	416	414	418
peacockdb	tpcds	1	q10	full_table-tp1-standard	16	GpuCoalesceBatchesExec	92	6623	92	6623	6623	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	15	GpuHashJoinExec	109870	949951	92	6623	6623	1	603	601	604
peacockdb	tpcds	1	q10	full_table-tp1-standard	8	GpuCoalesceBatchesExec	897	64545	897	64545	64545	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	7	GpuHashJoinExec	1921732	137729662	897	64545	64545	2	1284	1282	1286
peacockdb	tpcds	1	q10	full_table-tp1-standard	5	GpuCoalesceBatchesExec	932	15146	932	15146	15146	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	4	GpuHashJoinExec	100459	2441230	932	15146	15146	1	297	296	298
peacockdb	tpcds	1	q10	full_table-tp1-standard	2	GpuCoalesceBatchesExec	459	3730	459	3730	3730	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	1	GpuFilterExec	50000	1290073	459	3730	3730	2	1111	1109	1113
peacockdb	tpcds	1	q10	full_table-tp1-standard	0	GpuScanExec	0	0	50000	1290073	1290073	2	15074	15069	15076
peacockdb	tpcds	1	q10	full_table-tp1-standard	3	GpuScanExec	0	0	100000	2437500	2437500	2	23479	23478	23481
peacockdb	tpcds	1	q10	full_table-tp1-standard	6	GpuScanExec	0	0	1920800	137714516	137714516	2	36785	36784	36787
peacockdb	tpcds	1	q10	full_table-tp1-standard	14	GpuCoalesceBatchesExec	108973	885406	108973	885406	885406	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	13	GpuHashJoinExec	2880524	46807541	108973	885406	885406	1	612	610	613
peacockdb	tpcds	1	q10	full_table-tp1-standard	11	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	10	GpuFilterExec	73049	1780572	120	975	975	23	158	157	181
peacockdb	tpcds	1	q10	full_table-tp1-standard	9	GpuScanExec	0	0	73049	1780572	1780572	2	18800	18799	18802
peacockdb	tpcds	1	q10	full_table-tp1-standard	12	GpuScanExec	0	0	2880404	46806566	46806566	2	18386	18386	18388
peacockdb	tpcds	1	q10	full_table-tp1-standard	22	GpuCoalesceBatchesExec	27788	451556	27788	451556	451556	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	21	GpuHashJoinExec	719504	11690965	27788	451556	451556	1	363	362	364
peacockdb	tpcds	1	q10	full_table-tp1-standard	19	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	18	GpuFilterExec	73049	1780572	120	975	975	23	153	152	176
peacockdb	tpcds	1	q10	full_table-tp1-standard	17	GpuScanExec	0	0	73049	1780572	1780572	2	17312	17311	17314
peacockdb	tpcds	1	q10	full_table-tp1-standard	20	GpuScanExec	0	0	719384	11689990	11689990	7	7011	7010	7018
peacockdb	tpcds	1	q10	full_table-tp1-standard	30	GpuCoalesceBatchesExec	54337	882978	54337	882978	882978	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	29	GpuHashJoinExec	1441668	23426131	54337	882978	882978	1	441	440	442
peacockdb	tpcds	1	q10	full_table-tp1-standard	27	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	26	GpuFilterExec	73049	1780572	120	975	975	24	157	156	181
peacockdb	tpcds	1	q10	full_table-tp1-standard	25	GpuScanExec	0	0	73049	1780572	1780572	2	17102	17101	17104
peacockdb	tpcds	1	q10	full_table-tp1-standard	28	GpuScanExec	0	0	1441548	23425156	23425156	8	8306	8304	8314
peacockdb	tpcds	1	q10	full_table-tp1-standard	37	GpuSortExec	6	684	6	684	684	2	1118	1117	1120
peacockdb	tpcds	1	q10	full_table-tp1-standard	36	GpuProjectExec	6	439	6	684	684	1	280	279	281
peacockdb	tpcds	1	q10	full_table-tp1-standard	35	GpuAggregateExec	6	390	6	439	439	3	713	712	716
peacockdb	tpcds	1	q10	full_table-tp1-standard	34	GpuCoalesceBatchesExec	6	390	6	390	390	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	33	GpuFilterExec	92	5923	6	390	390	2	568	567	570
peacockdb	tpcds	1	q10	full_table-tp1-standard	32	GpuCoalesceBatchesExec	92	5923	92	5923	5923	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	31	GpuHashJoinExec	54429	889625	92	5923	5923	1	638	637	639
peacockdb	tpcds	1	q10	full_table-tp1-standard	24	GpuCoalesceBatchesExec	92	6647	92	6647	6647	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	23	GpuHashJoinExec	27880	458179	92	6647	6647	2	414	413	416
peacockdb	tpcds	1	q10	full_table-tp1-standard	16	GpuCoalesceBatchesExec	92	6623	92	6623	6623	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	15	GpuHashJoinExec	109870	949951	92	6623	6623	1	600	599	601
peacockdb	tpcds	1	q10	full_table-tp1-standard	8	GpuCoalesceBatchesExec	897	64545	897	64545	64545	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	7	GpuHashJoinExec	1921732	137729662	897	64545	64545	1	1299	1298	1300
peacockdb	tpcds	1	q10	full_table-tp1-standard	5	GpuCoalesceBatchesExec	932	15146	932	15146	15146	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	4	GpuHashJoinExec	100459	2441230	932	15146	15146	1	293	292	294
peacockdb	tpcds	1	q10	full_table-tp1-standard	2	GpuCoalesceBatchesExec	459	3730	459	3730	3730	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	1	GpuFilterExec	50000	1290073	459	3730	3730	1	1095	1094	1096
peacockdb	tpcds	1	q10	full_table-tp1-standard	0	GpuScanExec	0	0	50000	1290073	1290073	2	15056	15051	15058
peacockdb	tpcds	1	q10	full_table-tp1-standard	3	GpuScanExec	0	0	100000	2437500	2437500	2	23383	23382	23385
peacockdb	tpcds	1	q10	full_table-tp1-standard	6	GpuScanExec	0	0	1920800	137714516	137714516	2	36082	36080	36084
peacockdb	tpcds	1	q10	full_table-tp1-standard	14	GpuCoalesceBatchesExec	108973	885406	108973	885406	885406	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	13	GpuHashJoinExec	2880524	46807541	108973	885406	885406	1	614	613	615
peacockdb	tpcds	1	q10	full_table-tp1-standard	11	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	10	GpuFilterExec	73049	1780572	120	975	975	23	153	152	176
peacockdb	tpcds	1	q10	full_table-tp1-standard	9	GpuScanExec	0	0	73049	1780572	1780572	2	18780	18779	18782
peacockdb	tpcds	1	q10	full_table-tp1-standard	12	GpuScanExec	0	0	2880404	46806566	46806566	2	18356	18355	18358
peacockdb	tpcds	1	q10	full_table-tp1-standard	22	GpuCoalesceBatchesExec	27788	451556	27788	451556	451556	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	21	GpuHashJoinExec	719504	11690965	27788	451556	451556	1	347	346	348
peacockdb	tpcds	1	q10	full_table-tp1-standard	19	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	18	GpuFilterExec	73049	1780572	120	975	975	23	151	150	174
peacockdb	tpcds	1	q10	full_table-tp1-standard	17	GpuScanExec	0	0	73049	1780572	1780572	2	17321	17320	17323
peacockdb	tpcds	1	q10	full_table-tp1-standard	20	GpuScanExec	0	0	719384	11689990	11689990	3	6973	6971	6976
peacockdb	tpcds	1	q10	full_table-tp1-standard	30	GpuCoalesceBatchesExec	54337	882978	54337	882978	882978	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	29	GpuHashJoinExec	1441668	23426131	54337	882978	882978	1	423	422	424
peacockdb	tpcds	1	q10	full_table-tp1-standard	27	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	26	GpuFilterExec	73049	1780572	120	975	975	24	157	156	181
peacockdb	tpcds	1	q10	full_table-tp1-standard	25	GpuScanExec	0	0	73049	1780572	1780572	2	17039	17038	17041
peacockdb	tpcds	1	q10	full_table-tp1-standard	28	GpuScanExec	0	0	1441548	23425156	23425156	3	7990	7988	7993
peacockdb	tpcds	1	q10	full_table-tp1-standard	37	GpuSortExec	6	684	6	684	684	2	1112	1111	1114
peacockdb	tpcds	1	q10	full_table-tp1-standard	36	GpuProjectExec	6	439	6	684	684	1	249	248	250
peacockdb	tpcds	1	q10	full_table-tp1-standard	35	GpuAggregateExec	6	390	6	439	439	3	711	710	714
peacockdb	tpcds	1	q10	full_table-tp1-standard	34	GpuCoalesceBatchesExec	6	390	6	390	390	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	33	GpuFilterExec	92	5923	6	390	390	2	563	563	565
peacockdb	tpcds	1	q10	full_table-tp1-standard	32	GpuCoalesceBatchesExec	92	5923	92	5923	5923	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	31	GpuHashJoinExec	54429	889625	92	5923	5923	2	637	636	639
peacockdb	tpcds	1	q10	full_table-tp1-standard	24	GpuCoalesceBatchesExec	92	6647	92	6647	6647	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	23	GpuHashJoinExec	27880	458179	92	6647	6647	1	410	408	411
peacockdb	tpcds	1	q10	full_table-tp1-standard	16	GpuCoalesceBatchesExec	92	6623	92	6623	6623	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	15	GpuHashJoinExec	109870	949951	92	6623	6623	1	590	589	591
peacockdb	tpcds	1	q10	full_table-tp1-standard	8	GpuCoalesceBatchesExec	897	64545	897	64545	64545	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	7	GpuHashJoinExec	1921732	137729662	897	64545	64545	2	1286	1286	1288
peacockdb	tpcds	1	q10	full_table-tp1-standard	5	GpuCoalesceBatchesExec	932	15146	932	15146	15146	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	4	GpuHashJoinExec	100459	2441230	932	15146	15146	1	294	293	295
peacockdb	tpcds	1	q10	full_table-tp1-standard	2	GpuCoalesceBatchesExec	459	3730	459	3730	3730	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	1	GpuFilterExec	50000	1290073	459	3730	3730	1	1084	1083	1085
peacockdb	tpcds	1	q10	full_table-tp1-standard	0	GpuScanExec	0	0	50000	1290073	1290073	2	15094	15089	15096
peacockdb	tpcds	1	q10	full_table-tp1-standard	3	GpuScanExec	0	0	100000	2437500	2437500	2	23448	23446	23450
peacockdb	tpcds	1	q10	full_table-tp1-standard	6	GpuScanExec	0	0	1920800	137714516	137714516	2	36664	36663	36666
peacockdb	tpcds	1	q10	full_table-tp1-standard	14	GpuCoalesceBatchesExec	108973	885406	108973	885406	885406	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	13	GpuHashJoinExec	2880524	46807541	108973	885406	885406	1	613	612	614
peacockdb	tpcds	1	q10	full_table-tp1-standard	11	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	10	GpuFilterExec	73049	1780572	120	975	975	31	152	151	183
peacockdb	tpcds	1	q10	full_table-tp1-standard	9	GpuScanExec	0	0	73049	1780572	1780572	2	18767	18766	18769
peacockdb	tpcds	1	q10	full_table-tp1-standard	12	GpuScanExec	0	0	2880404	46806566	46806566	2	18320	18319	18322
peacockdb	tpcds	1	q10	full_table-tp1-standard	22	GpuCoalesceBatchesExec	27788	451556	27788	451556	451556	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	21	GpuHashJoinExec	719504	11690965	27788	451556	451556	1	362	360	363
peacockdb	tpcds	1	q10	full_table-tp1-standard	19	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	18	GpuFilterExec	73049	1780572	120	975	975	23	154	153	177
peacockdb	tpcds	1	q10	full_table-tp1-standard	17	GpuScanExec	0	0	73049	1780572	1780572	2	17330	17329	17332
peacockdb	tpcds	1	q10	full_table-tp1-standard	20	GpuScanExec	0	0	719384	11689990	11689990	7	6973	6972	6980
peacockdb	tpcds	1	q10	full_table-tp1-standard	30	GpuCoalesceBatchesExec	54337	882978	54337	882978	882978	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	29	GpuHashJoinExec	1441668	23426131	54337	882978	882978	1	431	430	432
peacockdb	tpcds	1	q10	full_table-tp1-standard	27	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	26	GpuFilterExec	73049	1780572	120	975	975	22	148	147	170
peacockdb	tpcds	1	q10	full_table-tp1-standard	25	GpuScanExec	0	0	73049	1780572	1780572	2	17019	17017	17021
peacockdb	tpcds	1	q10	full_table-tp1-standard	28	GpuScanExec	0	0	1441548	23425156	23425156	6	8088	8087	8094
peacockdb	tpcds	1	q10	full_table-tp1-standard	37	GpuSortExec	6	684	6	684	684	2	1131	1130	1133
peacockdb	tpcds	1	q10	full_table-tp1-standard	36	GpuProjectExec	6	439	6	684	684	1	250	249	251
peacockdb	tpcds	1	q10	full_table-tp1-standard	35	GpuAggregateExec	6	390	6	439	439	3	715	714	718
peacockdb	tpcds	1	q10	full_table-tp1-standard	34	GpuCoalesceBatchesExec	6	390	6	390	390	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	33	GpuFilterExec	92	5923	6	390	390	2	549	548	551
peacockdb	tpcds	1	q10	full_table-tp1-standard	32	GpuCoalesceBatchesExec	92	5923	92	5923	5923	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	31	GpuHashJoinExec	54429	889625	92	5923	5923	1	644	643	645
peacockdb	tpcds	1	q10	full_table-tp1-standard	24	GpuCoalesceBatchesExec	92	6647	92	6647	6647	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	23	GpuHashJoinExec	27880	458179	92	6647	6647	2	397	396	399
peacockdb	tpcds	1	q10	full_table-tp1-standard	16	GpuCoalesceBatchesExec	92	6623	92	6623	6623	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	15	GpuHashJoinExec	109870	949951	92	6623	6623	1	591	590	592
peacockdb	tpcds	1	q10	full_table-tp1-standard	8	GpuCoalesceBatchesExec	897	64545	897	64545	64545	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	7	GpuHashJoinExec	1921732	137729662	897	64545	64545	1	1262	1260	1263
peacockdb	tpcds	1	q10	full_table-tp1-standard	5	GpuCoalesceBatchesExec	932	15146	932	15146	15146	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	4	GpuHashJoinExec	100459	2441230	932	15146	15146	1	298	297	299
peacockdb	tpcds	1	q10	full_table-tp1-standard	2	GpuCoalesceBatchesExec	459	3730	459	3730	3730	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	1	GpuFilterExec	50000	1290073	459	3730	3730	2	1142	1140	1144
peacockdb	tpcds	1	q10	full_table-tp1-standard	0	GpuScanExec	0	0	50000	1290073	1290073	2	15052	15047	15054
peacockdb	tpcds	1	q10	full_table-tp1-standard	3	GpuScanExec	0	0	100000	2437500	2437500	2	23429	23427	23431
peacockdb	tpcds	1	q10	full_table-tp1-standard	6	GpuScanExec	0	0	1920800	137714516	137714516	2	36799	36798	36801
peacockdb	tpcds	1	q10	full_table-tp1-standard	14	GpuCoalesceBatchesExec	108973	885406	108973	885406	885406	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	13	GpuHashJoinExec	2880524	46807541	108973	885406	885406	1	611	610	612
peacockdb	tpcds	1	q10	full_table-tp1-standard	11	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	10	GpuFilterExec	73049	1780572	120	975	975	23	154	153	177
peacockdb	tpcds	1	q10	full_table-tp1-standard	9	GpuScanExec	0	0	73049	1780572	1780572	2	18767	18766	18769
peacockdb	tpcds	1	q10	full_table-tp1-standard	12	GpuScanExec	0	0	2880404	46806566	46806566	3	18507	18506	18510
peacockdb	tpcds	1	q10	full_table-tp1-standard	22	GpuCoalesceBatchesExec	27788	451556	27788	451556	451556	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	21	GpuHashJoinExec	719504	11690965	27788	451556	451556	1	357	356	358
peacockdb	tpcds	1	q10	full_table-tp1-standard	19	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	18	GpuFilterExec	73049	1780572	120	975	975	23	149	148	172
peacockdb	tpcds	1	q10	full_table-tp1-standard	17	GpuScanExec	0	0	73049	1780572	1780572	2	17306	17305	17308
peacockdb	tpcds	1	q10	full_table-tp1-standard	20	GpuScanExec	0	0	719384	11689990	11689990	6	6974	6973	6980
peacockdb	tpcds	1	q10	full_table-tp1-standard	30	GpuCoalesceBatchesExec	54337	882978	54337	882978	882978	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	29	GpuHashJoinExec	1441668	23426131	54337	882978	882978	2	431	430	433
peacockdb	tpcds	1	q10	full_table-tp1-standard	27	GpuCoalesceBatchesExec	120	975	120	975	975	0	0	0	0
peacockdb	tpcds	1	q10	full_table-tp1-standard	26	GpuFilterExec	73049	1780572	120	975	975	25	153	152	178
peacockdb	tpcds	1	q10	full_table-tp1-standard	25	GpuScanExec	0	0	73049	1780572	1780572	2	17041	17040	17043
peacockdb	tpcds	1	q10	full_table-tp1-standard	28	GpuScanExec	0	0	1441548	23425156	23425156	8	8151	8150	8159
peacockdb	tpcds	1	q10	full_table-tp1-standard	37	GpuSortExec	6	684	6	684	684	3	1115	1114	1118
peacockdb	tpcds	1	q10	full_table-tp1-standard	36	GpuProjectExec	6	439	6	684	684	1	275	274	276
